time_s,V_m1_V,V_m2_V,V_m3_V,V_m4_V,V_m5_V,V_m6_V,V_m7_V,V_m8_V,V_m9_V,V_m10_V,V_m11_V,V_m12_V,V_m13_V,V_m14_V,V_m15_V,V_m16_V,mean_bridge_current_A,mean_bridge_voltage_V,mean_v_tune_V,tank_resonance_frequency_hz
0.39339,-0.7653160124725007,-1.0114143367028698,-0.9684213351633771,-1.0679169884511017,-0.7078996819950772,-0.9696628224178295,-1.1255052206493594,-1.041816092507636,-0.8425284663499796,-0.9158185359479917,-1.0622633517681535,-1.3088954961776353,-0.8722986553146557,-0.9218127826910634,-1.0966942222908131,-1.234565269108735,1.6940658945086007e-21,0.07406055361367969,3.9339786795735914,1382.283130580584
0.3934,-0.6653160124725007,-1.0114143367028698,-0.8684213351633772,-0.9679169884511017,-0.7078996819950772,-0.8696628224178296,-1.2255052206493595,-1.0189246044889797,-0.9425284663499796,-0.8158185359479917,-1.1622633517681535,-1.3651192249368957,-0.9722986553146556,-1.0218127826910635,-1.1966942222908132,-1.334565269108735,1.6940658945086007e-21,0.10044939697787154,3.9340786815736313,1382.791348536572
0.39341000000000004,-0.7319826791391674,-0.9114143367028699,-0.7684213351633772,-0.8679169884511018,-0.7096744429232026,-0.9363294890844962,-1.1588385539826929,-1.0157814938113074,-1.0425284663499796,-0.8824852026146583,-1.1855262966784903,-1.298452558270229,-1.0722986553146556,-0.9884794493577301,-1.2966942222908133,-1.4345652691087352,-1.2705494208814505e-21,0.10718893010540775,3.9341786835736716,1382.9558601971426
0.39342000000000005,-0.8319826791391673,-0.8114143367028699,-0.6684213351633772,-0.7679169884511018,-0.8096744429232026,-1.0363294890844963,-1.0588385539826928,-0.9157814938113075,-1.1425284663499797,-0.9824852026146583,-1.1188596300118236,-1.3407403995379237,-1.1722986553146557,-0.9884794493577301,-1.36336088895748,-1.4012319357754017,-8.470329472543003e-22,0.09645092349156169,3.9342786855737115,1382.7077991000515
0.39343000000000006,-0.847297131473543,-0.7114143367028699,-0.5684213351633772,-0.7012503217844351,-0.9096744429232025,-0.9696628224178296,-0.9588385539826928,-0.8157814938113075,-1.2425284663499798,-1.0824852026146583,-1.1663375872120987,-1.2407403995379236,-1.2389653219813224,-1.0884794493577301,-1.2633608889574799,-1.3012319357754016,0.0,0.07850805246369703,3.9343786875737514,1382.3437917148485
0.39344,-0.747297131473543,-0.6114143367028699,-0.5684213351633772,-0.7882093134623382,-1.0096744429232025,-0.8696628224178297,-0.8588385539826928,-0.7157814938113075,-1.34252846634998,-1.1824852026146584,-1.0878286596163942,-1.1407403995379235,-1.1389653219813223,-1.1884794493577302,-1.1633608889574798,-1.2012319357754015,0.0,0.06600805246369702,3.9344786895737913,1382.0584696659998
0.39345,-0.6472971314735431,-0.51141433670287,-0.6684213351633772,-0.7491094092379185,-0.9430077762565359,-0.902996155751163,-0.7588385539826928,-0.6378652101061891,-1.44252846634998,-1.2824852026146585,-0.9878286596163942,-1.0407403995379234,-1.205631988647989,-1.1884794493577302,-1.1222888028875475,-1.1012319357754015,0.0,0.055494648167514336,3.9345786915738317,1381.789623206544
0.39346000000000003,-0.6230921942574014,-0.5780810033695366,-0.6684213351633772,-0.7491094092379185,-0.8430077762565359,-0.902996155751163,-0.6588385539826929,-0.631481658956172,-1.54252846634998,-1.2824852026146585,-1.0306288217479151,-1.0240395563703633,-1.305631988647989,-1.0884794493577301,-1.129242820766936,-1.0012319357754014,-8.470329472543003e-22,0.04156184947282381,3.9346786935738716,1381.4457422895407
0.39347000000000004,-0.7230921942574013,-0.6780810033695366,-0.5684213351633772,-0.7470101425229152,-0.7763411095898692,-0.802996155751163,-0.5921718873160262,-0.731481658956172,-1.6091951330166467,-1.1824852026146584,-1.0149868178876233,-1.0797641896800154,-1.405631988647989,-1.0884794493577301,-1.1150850985928602,-1.067898602442068,0.0,0.04468269299236172,3.9347786955739115,1381.4937427055427
0.39348000000000005,-0.7926674646960791,-0.7780810033695366,-0.4969560107950928,-0.6681698447058358,-0.8763411095898692,-0.8252563705507913,-0.6921718873160262,-0.631481658956172,-1.5091951330166467,-1.0824852026146583,-0.9149868178876234,-1.0797641896800154,-1.4669577043830844,-1.1884794493577302,-1.1197386229215613,-1.1678986024420681,-3.3881317890172014e-21,0.04622303915151299,3.934878697573952,1381.574869497194
0.39349,-0.8226333753990955,-0.8780810033695365,-0.584727172482857,-0.6178705264136976,-0.9763411095898692,-0.9252563705507912,-0.7921718873160262,-0.5839442372092329,-1.4091951330166466,-0.9824852026146583,-0.9652276964407821,-1.0130975230133488,-1.3669577043830843,-1.1884794493577302,-1.2197386229215614,-1.2345652691087348,1.6940658945086007e-21,0.04086580006092677,3.934978699573991,1381.4970635718967
0.3935,-0.9226333753990955,-0.9447476700362032,-0.684727172482857,-0.7178705264136975,-1.0763411095898692,-1.0252563705507913,-0.8921718873160261,-0.6839442372092329,-1.3091951330166465,-0.8824852026146583,-1.065227696440782,-1.1130975230133489,-1.2669577043830842,-1.0884794493577301,-1.286405289588228,-1.1419575418912014,2.541098841762901e-21,0.024815156126132328,3.935078701574031,1381.1629224976575
0.39351,-1.0226333753990955,-0.8447476700362032,-0.784727172482857,-0.8178705264136975,-1.0234421678898513,-1.091923037217458,-0.9921718873160261,-0.7839442372092329,-1.2091951330166464,-0.949151869281325,-1.065227696440782,-1.213097523013349,-1.166957704383084,-0.9884794493577301,-1.186405289588228,-1.2158296836881137,8.470329472543003e-22,0.029008623846709106,3.9351787035740715,1381.296852951256
0.39352000000000004,-0.9870624659347604,-0.9114143367028699,-0.8847271724828569,-0.9178705264136975,-0.9234421678898513,-0.991923037217458,-1.0921718873160262,-0.8839442372092329,-1.1091951330166463,-1.049151869281325,-1.085772785688904,-1.1917745567866422,-1.066957704383084,-0.8884794493577302,-1.086405289588228,-1.2824963503547804,-8.470329472543003e-22,0.03386218715373536,3.9352787055741114,1381.4367271279034
0.39353000000000005,-0.8870624659347605,-1.0114143367028698,-0.9847271724828569,-1.0178705264136976,-0.8234421678898514,-0.9350059398161877,-1.1921718873160263,-0.9839442372092329,-1.0091951330166462,-1.1491518692813252,-1.1450628784194843,-1.2917745567866423,-0.966957704383084,-0.9218127826910635,-1.0197386229215613,-1.1824963503547803,-1.6940658945086007e-21,0.0408066315981798,3.9353787075741518,1381.5736571085372
